Region,Zone,Reef,Site,Transect,Apex,ApexSR,Tpred,TpredSR,Ntpred,NtpredSR,Mherb,MherbSR,Tgraz,TgrazSR,Coral,Macro,Turf,CCA,Rubble,Algae,All_Benthos,%Macro,%Turf
Swains,P,21-507,22,86,4.501969612,2.121784535,15,3.872983346,4,2,63,7.937253933,32,5.656854249,39,0,48,4,3,48,94,0,0.510638298
Swains,P,21-507,23,87,4.501969612,2.121784535,9,3,1,1,39,6.244997998,38,6.164414003,56,3,32,4,3,35,98,0.030612245,0.326530612
Swains,P,21-507,23,88,4.501969612,2.121784535,7,2.645751311,2,1.414213562,29,5.385164807,19,4.358898944,36,7,43,6,5,50,97,0.072164948,0.443298969
Swains,P,21-507,23,89,4.501969612,2.121784535,4,2,2,1.414213562,25,5,13,3.605551275,25,5,52,2,11,57,95,0.052631579,0.547368421
Swains,P,21-507,23,90,4.501969612,2.121784535,5,2.236067977,8,2.828427125,18,4.242640687,27,5.196152423,48,6,31,0,11,37,96,0.0625,0.322916667
Swains,G,Recreation,24,91,3.857280617,1.963996084,5,2.236067977,4,2,35,5.916079783,16,4,20,0,78,0,2,78,100,0,0.78
Swains,G,Recreation,24,92,3.857280617,1.963996084,6,2.449489743,2,1.414213562,16,4,14,3.741657387,29,0,58,0,13,58,100,0,0.58
Swains,G,Recreation,24,93,3.857280617,1.963996084,4,2,3,1.732050808,47,6.8556546,15,3.872983346,24,0,69,0,6,69,99,0,0.696969697
Swains,G,Recreation,24,94,3.857280617,1.963996084,16,4,3,1.732050808,44,6.633249581,17,4.123105626,21,0,76,0,3,76,100,0,0.76
Swains,G,Recreation,25,95,3.857280617,1.963996084,13,3.605551275,6,2.449489743,31,5.567764363,11,3.31662479,22,1,63,0,14,64,100,0.01,0.63
Swains,G,Recreation,25,96,3.857280617,1.963996084,4,2,5,2.236067977,23,4.795831523,23,4.795831523,44,0,53,0,0,53,97,0,0.546391753
Swains,G,Recreation,25,97,3.857280617,1.963996084,15,3.872983346,14,3.741657387,70,8.366600265,15,3.872983346,27,0,69,0,3,69,99,0,0.696969697
Swains,G,Recreation,25,98,3.857280617,1.963996084,9,3,6,2.449489743,39,6.244997998,18,4.242640687,53,0,44,0,0,44,97,0,0.453608247
Swains,G,Recreation,26,99,3.857280617,1.963996084,5,2.236067977,3,1.732050808,20,4.472135955,11,3.31662479,16,1,2,0,80,3,99,0.01010101,0.02020202
Swains,G,Recreation,26,100,3.857280617,1.963996084,9,3,11,3.31662479,35,5.916079783,14,3.741657387,13,1,5,4,72,6,95,0.010526316,0.052631579
Swains,G,Recreation,26,101,3.857280617,1.963996084,12,3.464101615,8,2.828427125,29,5.385164807,8,2.828427125,22,0,1,1,73,1,97,0,0.010309278
Swains,G,Recreation,26,102,3.857280617,1.963996084,6,2.449489743,9,3,23,4.795831523,14,3.741657387,31,0,0,0,63,0,94,0,0
Swains,G,Recreation,27,103,3.857280617,1.963996084,9,3,5,2.236067977,21,4.582575695,6,2.449489743,23,0,3,0,73,3,99,0,0.03030303
Swains,G,Recreation,27,104,3.857280617,1.963996084,3,1.732050808,11,3.31662479,30,5.477225575,23,4.795831523,37,0,10,1,47,10,95,0,0.105263158
Swains,G,Recreation,27,105,3.857280617,1.963996084,11,3.31662479,10,3.16227766,22,4.69041576,17,4.123105626,21,1,9,0,66,10,97,0.010309278,0.092783505
Swains,G,Recreation,27,106,3.857280617,1.963996084,6,2.449489743,5,2.236067977,26,5.099019514,22,4.69041576,31,0,6,0,60,6,97,0,0.06185567
Swains,B,21-500,28,107,2.695976773,1.641942987,4,2,2,1.414213562,3,1.732050808,0,0,13,0,17,25,45,17,100,0,0.17
Swains,B,21-500,28,108,2.695976773,1.641942987,2,1.414213562,3,1.732050808,7,2.645751311,11,3.31662479,27,0,15,15,42,15,99,0,0.151515152
Swains,B,21-500,28,109,2.695976773,1.641942987,2,1.414213562,0,0,42,6.480740698,10,3.16227766,13,0,7,20,59,7,99,0,0.070707071
Swains,B,21-500,28,110,2.695976773,1.641942987,5,2.236067977,3,1.732050808,51,7.141428429,11,3.31662479,20,0,19,7,53,19,99,0,0.191919192
Swains,B,21-500,29,111,2.695976773,1.641942987,2,1.414213562,1,1,12,3.464101615,5,2.236067977,29,0,10,18,42,10,99,0,0.101010101
Swains,B,21-500,29,112,2.695976773,1.641942987,1,1,3,1.732050808,8,2.828427125,6,2.449489743,16,0,4,22,58,4,100,0,0.04
Swains,B,21-500,29,113,2.695976773,1.641942987,3,1.732050808,0,0,8,2.828427125,2,1.414213562,16,0,6,20,58,6,100,0,0.06
Swains,B,21-500,29,114,2.695976773,1.641942987,1,1,6,2.449489743,17,4.123105626,10,3.16227766,22,0,17,10,51,17,100,0,0.17
