OBS,SVSPP,PDSCINAMO,PDSCINAMB,PDSCINAM,MIN_PDL,N_PDL,MAX_PDL,MEAN_PDL,SE_PDL,AVE_PDS,SE_PDS
107,633,CALAMUS,CALAMUS,CALAMUS CALAMUS,12,12,30,21.417,1.4113,0.833,0.322
108,634,CALAMUS,LEUCOSTEUS,CALAMUS LEUCOSTEUS,13,20,36,28.385,1.3375,1.692,1.075
109,639,DIPLODUS,HOLBROOKI,DIPLODUS HOLBROOKI,3,25,29,26.667,1.2019,0.333,0.333
110,641,PAGRUS,SEDECIM,PAGRUS SEDECIM,8,22,39,28.875,2.048,1.5,0.75
111,652,MENTICIRRHUS,AMERICANUS,MENTICIRRHUS AMERICANUS,21,21,29,24.619,0.4805,1.638,0.371
112,659,CHAETODIPTERUS,FABER,CHAETODIPTERUS FABER,4,38,44,41.5,1.2583,2.5,0.645
113,682,LACHNOLAIMUS,MAXIMUS,LACHNOLAIMUS MAXIMUS,1,60,60,60,.,3,.
114,744,SCOMBEROMORUS,CAVALLA,SCOMBEROMORUS CAVALLA,10,75,117,86,3.8471,13.05,4.807
115,745,SCOMBEROMORUS,MACULATUS,SCOMBEROMORUS MACULATUS,28,16,44,32.107,1.3127,3.732,1.831
116,789,PARALICHTHYS,LETHOSTIGMA,PARALICHTHYS LETHOSTIGMA,5,21,32,26.2,2.0833,3,3
117,925,ALOPIAS,VULPINUS,ALOPIAS VULPINUS,1,169,169,169,.,30,.
